Question	Question_ID	ROBERTA_Prediction	ROBERTA_Model
What is the revenue of IBM?	1	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which airports are located in California, USA?	4	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Are Taiko some kind of Japanese musical instrument?	6	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all cars that are produced in Germany.	7	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who founded Intel?	8	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
In which city is the headquarter of Air China?	9	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many students does the Free University of Amsterdam have?	10	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which politicians were married to a German?	13	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Show me hiking trails in the Grand Canyon where there's no danger of flash floods.	14	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How short is the shortest active NBA player?	15	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who became president after JFK died?	19	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many calories does a baguette have?	20	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who created English Wikipedia?	21	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many grand-children did Jacques Cousteau have?	22	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which software has been published by Mean Hamster Software?	23	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many emperors did China have?	24	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the longest river in China?	25	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the atmosphere of the Moon composed of?	26	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which rivers flow into the North Sea?	27	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which countries in the European Union adopted the Euro?	29	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who is the mayor of Berlin?	31	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is Angela Merkel’s birth name?	32	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all female German chancellors.	34	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What are the nicknames of San Francisco?	37	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all Frisian islands that belong to the Netherlands.	38	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which poet wrote the most books?	39	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who were the parents of Queen Victoria?	40	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which countries have places with more than two caves?	42	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me the websites of companies with more than 500000 employees.	43	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which European countries have a constitutional monarchy?	44	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Where did Abraham Lincoln die?	45	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which frequent flyer program has the most airlines?	49	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the highest volcano in Africa?	50	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?	51	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Give me all movies with Tom Cruise.	52	1	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
How many seats does the home stadium of FC Porto have?	56	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Which space probes were sent into orbit around the sun?	59	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who is the governor of Texas?	60	2	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the highest place of Karakoram?	62	0	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
Who was called Scarface?	63	4	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
What is the profession of Frank Herbert?	64	3	./output/vquanda/f1_hybrid_col_cuttoff/results/checkpoint-2500/
