Question	Question_ID	ROBERTA_Prediction	ROBERTA_Model
Name the municipality of Roberto Clemente Bridge ?	4	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the municipality of Roberto Clemente Bridge ?	4	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which person designed the cars which has been designed by ASC Creative Services?	9	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What tv series can be said to be related to the sarah jane adventure and dr who confidential?	14	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What tv series can be said to be related to the sarah jane adventure and dr who confidential?	14	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which source country of SamurAbsheron channel is the birth place of Anar Salmanov?	20	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which source country of SamurAbsheron channel is the birth place of Anar Salmanov?	20	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which band's former member are Kevin Jonas and Joe Jonas?	23	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which band's former member are Kevin Jonas and Joe Jonas?	23	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the teams for which Bobby Hoppe played ?	36	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the teams for which Bobby Hoppe played ?	36	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the teams for which Bobby Hoppe played ?	36	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
List the teams for which Bobby Hoppe played ?	36	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did the office holder died who is successor to Elmer Burkett ?	51	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did the office holder died who is successor to Elmer Burkett ?	51	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Where did the office holder died who is successor to Elmer Burkett ?	51	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which team did Dave Bing and Ron Reed started their basketball career?	64	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which team did Dave Bing and Ron Reed started their basketball career?	64	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which team did Dave Bing and Ron Reed started their basketball career?	64	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
In which team did Dave Bing and Ron Reed started their basketball career?	64	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Was Ganymede discovered by Galileo Galilei?	65	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Was Ganymede discovered by Galileo Galilei?	65	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Was Ganymede discovered by Galileo Galilei?	65	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Was Ganymede discovered by Galileo Galilei?	65	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which country has given citizenship to both saima chowdhury and edmund john?	76	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which country has given citizenship to both saima chowdhury and edmund john?	76	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which title of Zaman Shah Durrani is also the nationality of Salahuddin?	84	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which title of Zaman Shah Durrani is also the nationality of Salahuddin?	84	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which title of Zaman Shah Durrani is also the nationality of Salahuddin?	84	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which title of Zaman Shah Durrani is also the nationality of Salahuddin?	84	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many party leaders are there whose parties are headquartered in Berlin?	91	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
How many party leaders are there whose parties are headquartered in Berlin?	91	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which country's leader is David Johnston?	102	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which country's leader is David Johnston?	102	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Which royal person married the successor of Darius I?	107	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the region of the Kim Sawchuk which is also served by the Airtours International Airways ?	108	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the region of the Kim Sawchuk which is also served by the Airtours International Airways ?	108	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the province of Rouen Business School?	112	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the province of Rouen Business School?	112	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What is the province of Rouen Business School?	112	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What religions do politicians in the Korean Minjoo Party follow?	113	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What religions do politicians in the Korean Minjoo Party follow?	113	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
What religions do politicians in the Korean Minjoo Party follow?	113	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
Name the sea with Helsinki as one of the shore city and is also an outflow for Danish straits?	118	0	./output/qald9/f1_col_cuttoff/results/checkpoint-400/
