Give me all female German chancellors.,1
How many emperors did China have?,1
Who is the daughter of Robert Kennedy married to?,1
How many calories does a baguette have?,1
Which country was Bill Gates born in?,1
Give me all American presidents of the last 20 years.,4
Which American presidents were in office during the Vietnam War?,3
Which countries have places with more than two caves?,0
Who founded Intel?,0
What is the highest volcano in Africa?,1
What was the name of the famous battle in 1836 in San Antonio?,0
What languages are spoken in Pakistan?,2
What is Elon Musk famous for?,1
What is the longest river in China?,2
Who became president after JFK died?,4
How many years was the Ford Model T manufactured?,0
Who are the parents of the wife of Juan Carlos I?,0
Which U.S. state has been admitted latest?,2
Is Pamela Anderson a vegan?,2
Which countries are connected by the Rhine?,1
What is the area code of Berlin?,1
What is the nick name of Baghdad?,0
Which countries have more than ten volcanoes?,4
What is the revenue of IBM?,0
When did Muhammad die?,0
Who was the father of Queen Elizabeth II?,0
Give me the websites of companies with more than 500000 employees.,1
What is the profession of Frank Herbert?,1
How many gold medals did Michael Phelps win at the 2008 Olympics?,3
Who killed Caesar?,2
Who painted The Storm on the Sea of Galilee?,2
Give me all Frisian islands that belong to the Netherlands.,1
Which poet wrote the most books?,1
What are the nicknames of San Francisco?,0
How many scientists graduated from an Ivy League university?,2
Who was called Scarface?,1
Which languages are spoken in Estonia?,2
Which actors play in Big Bang Theory?,1
Give me a list of all critically endangered birds.,3
Whom did Lance Bass marry?,0
Who was on the Apollo 11 mission?,0
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,0
Who was influenced by Socrates?,2
In which city was the president of Montenegro born?,0
How many companies were founded by the founder of Facebook?,4
Who does the voice of Bart Simpson?,2
Show me all Czech movies.,1
Which book has the most pages?,1
In which city is the headquarter of Air China?,1
Which professional surfers were born in Australia?,1
How deep is Lake Chiemsee?,0
When was Jack Wolfskin founded?,0
How many seats does the home stadium of FC Porto have?,2
When was Carlo Giuliani shot?,0
Who is the daughter of Bill Clinton married to?,2
Give me all movies with Tom Cruise.,0
What is the name of the university where Obama's wife studied?,0
Which politicians were married to a German?,0
Give me all spacecrafts that flew to Mars.,4
How many awards has Bertrand Russell?,1
Who owns Aldi?,1
When did Finland join the EU?,2
Who is the author of WikiLeaks?,1
Which museum exhibits The Scream by Munch?,1
Which U.S. state has the abbreviation MN?,0
When did Michael Jackson die?,1
Show me hiking trails in the Grand Canyon where there's no danger of flash floods.,1
How many grand-children did Jacques Cousteau have?,2
When did the Boston Tea Party take place?,1
How many James Bond movies do exist?,2
Give me all cars that are produced in Germany.,4
What is the atmosphere of the Moon composed of?,2
What is the highest place of Karakoram?,0
How big is the earth's diameter?,1
Which classes does the Millepede belong to?,1
How many students does the Free University of Amsterdam have?,0
Give me all chemical elements.,1
Which U.S. state has the highest population density?,1
Are Taiko some kind of Japanese musical instrument?,0
When did Dracula's creator die?,0
What is the wavelength of Indigo?,0
What were the names of the three ships by Columbus?,0
Give me all gangsters from the prohibition era.,1
Which computer scientist won an oscar?,3
Are there any castles in the United States?,0
Give me all Argentine films.,0
What is the time zone of Salt Lake City?,1
Which companies work in the aerospace industry as well as in medicine?,1
Give me all animals that are extinct.,0
Give me the official websites of actors of the television show Charmed.,2
Give me all Dutch parties.,0
Which artists were born on the same date as Rachel Stevens?,0
Which professional surfers were born on the Philippines?,4
How many moons does Mars have?,2
Butch Otter is the governor of which U.S. state?,1
What is Batman's real name?,0
Give me English actors starring in Lovesick.,1
Which bridges are of the same type as the Manhattan Bridge?,1
What is Angela Merkel’s birth name?,0
Who is the youngest player in the Premier League?,1
Give me all taikonauts.,1
Who was Tom Hanks married to?,0
Who is the governor of Texas?,0
What is the founding year of the brewery that produces Pilsner Urquell?,1
"Which airports are located in California, USA?",0
What is the highest mountain in Germany?,1
Who is the husband of Amanda Palmer?,1
Which beer brewing companies are located in North-Rhine Westphalia?,0
What is the largest state in the United States?,2
Which subsidiary of TUI Travel serves both Glasgow and Dublin?,2
What are the names of the Teenage Mutant Ninja Turtles?,0
Who was called Rodzilla?,0
Who is the novelist of the work a song of ice and fire?,3
Give me all professional skateboarders from Sweden.,4
Who is the mayor of Berlin?,0
Which German cities have more than 250000 inhabitants?,2
Where is Fort Knox located?,0
Which software has been published by Mean Hamster Software?,2
Give me the capitals of all countries in Africa.,2
Give me all B-sides of the Ramones.,0
