Give me all female German chancellors.,2
How many emperors did China have?,4
Who is the daughter of Robert Kennedy married to?,4
How many calories does a baguette have?,4
Which country was Bill Gates born in?,2
Give me all American presidents of the last 20 years.,4
Which American presidents were in office during the Vietnam War?,2
Which countries have places with more than two caves?,4
Who founded Intel?,4
What is the highest volcano in Africa?,4
What was the name of the famous battle in 1836 in San Antonio?,2
What languages are spoken in Pakistan?,4
What is Elon Musk famous for?,4
What is the longest river in China?,4
Who became president after JFK died?,4
How many years was the Ford Model T manufactured?,2
Who are the parents of the wife of Juan Carlos I?,2
Which U.S. state has been admitted latest?,4
Is Pamela Anderson a vegan?,4
Which countries are connected by the Rhine?,2
What is the area code of Berlin?,2
What is the nick name of Baghdad?,4
Which countries have more than ten volcanoes?,4
What is the revenue of IBM?,4
When did Muhammad die?,2
Who was the father of Queen Elizabeth II?,2
Give me the websites of companies with more than 500000 employees.,3
What is the profession of Frank Herbert?,4
How many gold medals did Michael Phelps win at the 2008 Olympics?,2
Who killed Caesar?,2
Who painted The Storm on the Sea of Galilee?,4
Give me all Frisian islands that belong to the Netherlands.,2
Which poet wrote the most books?,4
What are the nicknames of San Francisco?,4
How many scientists graduated from an Ivy League university?,4
Who was called Scarface?,4
Which languages are spoken in Estonia?,4
Which actors play in Big Bang Theory?,4
Give me a list of all critically endangered birds.,2
Whom did Lance Bass marry?,4
Who was on the Apollo 11 mission?,4
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,2
Who was influenced by Socrates?,4
In which city was the president of Montenegro born?,2
How many companies were founded by the founder of Facebook?,4
Who does the voice of Bart Simpson?,4
Show me all Czech movies.,4
Which book has the most pages?,3
In which city is the headquarter of Air China?,4
Which professional surfers were born in Australia?,2
How deep is Lake Chiemsee?,4
When was Jack Wolfskin founded?,2
How many seats does the home stadium of FC Porto have?,2
When was Carlo Giuliani shot?,4
Who is the daughter of Bill Clinton married to?,2
Give me all movies with Tom Cruise.,2
What is the name of the university where Obama's wife studied?,4
Which politicians were married to a German?,4
Give me all spacecrafts that flew to Mars.,4
How many awards has Bertrand Russell?,2
Who owns Aldi?,1
When did Finland join the EU?,2
Who is the author of WikiLeaks?,4
Which museum exhibits The Scream by Munch?,2
Which U.S. state has the abbreviation MN?,4
When did Michael Jackson die?,4
Show me hiking trails in the Grand Canyon where there's no danger of flash floods.,4
How many grand-children did Jacques Cousteau have?,4
When did the Boston Tea Party take place?,4
How many James Bond movies do exist?,4
Give me all cars that are produced in Germany.,4
What is the atmosphere of the Moon composed of?,4
What is the highest place of Karakoram?,4
How big is the earth's diameter?,4
Which classes does the Millepede belong to?,2
How many students does the Free University of Amsterdam have?,4
Give me all chemical elements.,2
Which U.S. state has the highest population density?,4
Are Taiko some kind of Japanese musical instrument?,4
When did Dracula's creator die?,4
What is the wavelength of Indigo?,2
What were the names of the three ships by Columbus?,4
Give me all gangsters from the prohibition era.,2
Which computer scientist won an oscar?,4
Are there any castles in the United States?,4
Give me all Argentine films.,1
What is the time zone of Salt Lake City?,4
Which companies work in the aerospace industry as well as in medicine?,4
Give me all animals that are extinct.,4
Give me the official websites of actors of the television show Charmed.,2
Give me all Dutch parties.,4
Which artists were born on the same date as Rachel Stevens?,3
Which professional surfers were born on the Philippines?,4
How many moons does Mars have?,4
Butch Otter is the governor of which U.S. state?,4
What is Batman's real name?,4
Give me English actors starring in Lovesick.,4
Which bridges are of the same type as the Manhattan Bridge?,2
What is Angela Merkel’s birth name?,2
Who is the youngest player in the Premier League?,4
Give me all taikonauts.,4
Who was Tom Hanks married to?,2
Who is the governor of Texas?,4
What is the founding year of the brewery that produces Pilsner Urquell?,4
"Which airports are located in California, USA?",4
What is the highest mountain in Germany?,1
Who is the husband of Amanda Palmer?,4
Which beer brewing companies are located in North-Rhine Westphalia?,4
What is the largest state in the United States?,3
Which subsidiary of TUI Travel serves both Glasgow and Dublin?,4
What are the names of the Teenage Mutant Ninja Turtles?,4
Who was called Rodzilla?,4
Who is the novelist of the work a song of ice and fire?,4
Give me all professional skateboarders from Sweden.,4
Who is the mayor of Berlin?,2
Which German cities have more than 250000 inhabitants?,4
Where is Fort Knox located?,4
Which software has been published by Mean Hamster Software?,2
Give me the capitals of all countries in Africa.,2
Give me all B-sides of the Ramones.,2
